question_id,persona_uuid,persona_summary,home_region,visit_context,persona_lens,question_text,target_mart,target_columns,answerable,unanswerable_reason
QA001,03b4f36a18e6469386d0286dddd513c8,광주 서구 74세 하역 종사원 — 아내와 역사유적 여행 선호,광주-서구,아내와 서울 고궁·유적 나들이 상경,travel,이번 주에 경복궁 있는 종로 쪽에서 아내랑 갈 만한 전통 행사 있소?,gold_culture_event_schedule,"gu,category,event_start_date,event_end_date",true,
QA002,03b4f36a18e6469386d0286dddd513c8,광주 서구 74세 하역 종사원 — 아내와 역사유적 여행 선호,광주-서구,아내와 서울 고궁·유적 나들이 상경,culinary,행사 보고 나서 근처에 삼겹살 잘하는 고깃집 있으면 알려주오.,,,false,상권·음식점 데이터 없음 — commerce gold Iceberg 미게시. 로드맵: dine_around(티어링 #8)
QA003,960fd83c1e1f4e0ba0772915ff9e3946,서울 양천구 76세 — 자녀가 계획한 가족 나들이형,서울-양천구,자녀들이 계획한 서울 시내 나들이,family,우리 양천구에서 노인이 가기 좋은 무료 문화행사 있나?,gold_culture_event_schedule,"gu,is_free,title,event_start_date",true,
QA004,960fd83c1e1f4e0ba0772915ff9e3946,서울 양천구 76세 — 자녀가 계획한 가족 나들이형,서울-양천구,자녀들이 계획한 서울 시내 나들이,travel,사람 덜 붐비는 요일이나 시간대에 나가고 싶은데 언제가 좋나?,gold_culture_event_crowd,"day_of_week,hour_of_day,typical_congest,avg_congest_score",true,
QA005,fc551cd3e0a44ad1a7918e8d4d14af2f,부산 부산진구 76세 — 시장 식도락 여행·명절 주도,부산-부산진구,고향 친구들과 서울 전통시장·문화 나들이,culinary,서울 광장시장 먹거리 골목은 요즘 뭐가 유명한가?,,,false,시장·상권 데이터 없음 — commerce 소관. 로드맵: commerce gold Iceberg 게시 후 재검토
QA006,fc551cd3e0a44ad1a7918e8d4d14af2f,부산 부산진구 76세 — 시장 식도락 여행·명절 주도,부산-부산진구,고향 친구들과 서울 전통시장·문화 나들이,family,명절 연휴에 서울에서 하는 전통 행사 뭐가 있나?,gold_culture_event_schedule,"category,event_start_date,event_end_date,title",true,
QA007,f93d85bca5264918ba3350e712ad8884,경기 시흥 53세 전자제품 연구원 — 조용한 자연 선호,경기-시흥시,아내와 서울 조용한 문화 나들이,travel,북적이지 않게 다니고 싶은데 서울에서 행사 적은 한산한 날이 언제요?,gold_culture_calendar_density,"event_date,total_events",true,
QA008,f93d85bca5264918ba3350e712ad8884,경기 시흥 53세 전자제품 연구원 — 조용한 자연 선호,경기-시흥시,아내와 서울 조용한 문화 나들이,travel,그날 비 오면 실내로 갈 건데 주말 비 예보 어때요?,,,false,weather gold Iceberg skip(#268) — 예보 조인 불가. 로드맵: weather_fit(티어링 #13)
QA009,37c1c1ce971344108404ba40e16f259f,인천 서구 32세 — 분 단위 일정표·아이 기록 꼼꼼형,인천-서구,아이와 서울 당일 나들이(세밀 일정),family,아이랑 갈 무료 교육·체험 행사가 많은 동네가 어디예요?,gold_culture_activity_by_dong,"admin_dong,free_events_count,edu_experience_events_count",true,
QA010,37c1c1ce971344108404ba40e16f259f,인천 서구 32세 — 분 단위 일정표·아이 기록 꼼꼼형,인천-서구,아이와 서울 당일 나들이(세밀 일정),travel,행사장 주변이 요일별로 몇 시에 제일 한적한지 알려줘요. 일정표 짜게요.,gold_culture_event_crowd,"gu_code,day_of_week,hour_of_day,avg_ppltn",true,
